Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
AddInteger/ExMemory 0/ExMemory 0,1.528039241618593e-6,1.4565505576860915e-6,1.868746398080748e-6,4.441792459132398e-7,2.9509703816016863e-8,1.017675911359537e-6
AddInteger/ExMemory 0/ExMemory 0,1.4784932974050025e-6,1.4669125314535462e-6,1.4980087187540003e-6,4.7075528037563475e-8,3.126064177379185e-8,6.420234266897311e-8
AddInteger/ExMemory 0/ExMemory 0,1.478993339090872e-6,1.466254372131282e-6,1.4937768613179988e-6,4.760379720548636e-8,3.5413027455553516e-8,5.9472710833998585e-8
AddInteger/ExMemory 0/ExMemory 0,1.5268642858645757e-6,1.4735057598472466e-6,1.70998513239041e-6,3.1706707046918455e-7,5.7572879277928523e-8,6.66385493458508e-7
AddInteger/ExMemory 0/ExMemory 0,1.498645352153561e-6,1.4796454398951005e-6,1.5342631796851042e-6,8.268568422039572e-8,6.805477987816624e-8,1.068080585839936e-7
AddInteger/ExMemory 0/ExMemory 1,1.6000555656209901e-6,1.542034414734607e-6,1.8218895869980756e-6,3.667241400323252e-7,5.388487528996416e-8,7.756683770976091e-7
AddInteger/ExMemory 0/ExMemory 3,1.5579252355469435e-6,1.5362134769863438e-6,1.596271221462942e-6,9.832451634758773e-8,5.030737770720024e-8,1.4791495445536627e-7
AddInteger/ExMemory 0/ExMemory 6,1.5771669154455921e-6,1.5223061520044582e-6,1.7775120508891843e-6,3.3439478766136996e-7,2.893264167812847e-8,7.090169733185197e-7
AddInteger/ExMemory 0/ExMemory 13,1.5362634488612182e-6,1.5291043487553846e-6,1.5557139751548202e-6,3.785304453932678e-8,2.2367683580300353e-8,6.169525388729579e-8
AddInteger/ExMemory 0/ExMemory 27,1.5565317775763917e-6,1.5445749877869728e-6,1.5797806066747836e-6,5.877338446219881e-8,2.9647817048440285e-8,1.0588157599141335e-7
AddInteger/ExMemory 0/ExMemory 54,1.5960794035921412e-6,1.5697653345265407e-6,1.6363890628408687e-6,1.0484835289214496e-7,6.45166876304894e-8,1.5539514369239166e-7
AddInteger/ExMemory 0/ExMemory 108,1.6633481339090324e-6,1.639954008106195e-6,1.7079331934707233e-6,1.0302999795906731e-7,5.491900049838272e-8,1.8572226970468112e-7
AddInteger/ExMemory 0/ExMemory 216,1.7817822614646003e-6,1.736373508600735e-6,1.9666230139287643e-6,2.71917848414925e-7,7.964000551379151e-8,6.021948922362238e-7
AddInteger/ExMemory 0/ExMemory 432,2.142960800354122e-6,2.0440128151593754e-6,2.474619634871768e-6,5.481085359598056e-7,2.2801240018674844e-7,1.0684673429708373e-6
